recipe_id,title,title_clean,kategori,ingredients_raw,ingredients_clean,ingredients_tfidf,steps_list,steps_count,estimated_time_min,loves,URL
0,Ayam Woku Manado,ayam woku manado,ayam,"['1 Ekor Ayam Kampung (potong 12)', '2 Buah Jeruk Nipis', '2 Sdm Garam', '3 Ruas Kunyit', '7 Bawang Merah', '7 Bawang Putih', '10 Cabe Merah', '10 Cabe Rawit Merah (sesuai selera)', '3 Butir Kemiri', '2 Batang Sereh', '2 Lembar Daun Salam', '2 Ikat Daun Kemangi', 'Penyedap Rasa', '1 1/2 Gelas Air']","['ayam kampung', 'jeruk nipis', 'garam', 'kunyit', 'bawang merah', 'bawang putih', 'cabe merah', 'cabe rawit merah', 'kemiri', 'serai', 'daun salam', 'daun kemangi', 'penyedap', 'air']",ayam kampung jeruk nipis garam kunyit bawang merah bawang putih cabe merah cabe rawit merah kemiri serai daun salam daun kemangi penyedap air,"['1) Cuci bersih ayam dan tiriskan. Lalu peras jeruk nipis (kalo gak ada jeruk nipis bisa pake cuka) dan beri garam. Aduk hingga merata dan diamkan selama 5 menit, biar ayam gak bau amis.\n2) Goreng ayam tersebut setengah matang, lalu tiriskan\n3) Haluskan bumbu menggunakan blender. Bawang merah, bawang putih, cabe merah, cabe rawit, kemiri dan kunyit. Oh iya kasih minyak sedikit yaa biar bisa di blender. Untuk sereh nya di geprek aja terus di buat simpul.\n4) Setelah bumbu di haluskan barulah di tumis. Jangan lupa sereh dan daun salamnya juga ikut di tumis. Di tumis sampai berubah warna ya\n5) Masukan ayam yang sudah di goreng setengah matang ke dalam bumbu yang sudah di tumis, dan diamkan 5 menit dulu. Biar bumbu meresap. Lalu tuangkan 1 1/2 Gelas air. Lalu tambahkan penyedap rasa (saya 3 Sdt, tapi sesuai selera ya) koreksi rasa dan Biar kan sampai mendidih\n6) Setelah masakan mendidih, lalu masukan daun kemangi yang sudah di potong potong. Masak lagi sekitar 10 menit. And taraaaaaaaaaaaaaa..... jadi deh Ayam Woku Manadonya.\n7) Oh iyaa kalo mau di tambahkan potongan tomat merah juga bisa ko. Sesuai selera aja yaa buibuuuu']",7,20,1,https://cookpad.com/id/resep/4473027-ayam-woku-manado
1,Ayam goreng tulang lunak,ayam goreng tulang lunak,ayam,"['1 kg ayam (dipotong sesuai selera jangan kecil2 ya)', '2 batang serai (memarkan)', '4 lembar daun jeruk', '7 butir bawang putih (haluskan)', '1 sdm ketumbar (haluskan)', '3 ruas jari Laos (haluskan)', '3 ruas jari kunyit (haluskan)', '2 butir kemiri (haluskan)', 'secukupnya Garam', 'Secukupnya Air (tuk ukep ayam)', 'Secukupnya Minyak goreng']","['ayam dipotong', 'serai', 'daun jeruk', 'bawang putih', 'ketumbar', 'laos', 'kunyit', 'kemiri', 'garam', 'air tuk ukep ayam', 'minyak']",ayam dipotong serai daun jeruk bawang putih ketumbar laos kunyit kemiri garam air tuk ukep ayam minyak,"['1) Haluskan bumbu2nya (BaPut, ketumbar, kemiri, kunyit, Laos, garam) hingga halus, sisihkan\n2) Campur kan bumbu halus tadi dengan ayam yg sudah dicuci bersih dan sudah dipotong didalam panci presto. Uleni sampai tercampur rata.\n3) Tambahkan air hingga ayam tenggelam semua. Masukkan serai dan daun jeruk nya kedalam rendaman ayam. Tutup panci presto rebus/ ukep presto sampai kurleb 45 menit. Dengan api sedang.\n4) Setelah proses ukep presto selesai, tunggu suhu dingin ruang. Lalu goreng ayam dengan minyak goreng api sedang sampai ayam berwarna kecoklatan.\n5) Matang dan sajikan ayam selagi hangat bersama nasi putih, sambal dgn perasan jeruk nipis, lalapan.']",5,45,1,https://cookpad.com/id/resep/4471956-ayam-goreng-tulang-lunak
2,Ayam cabai kawin,ayam cabai kawin,ayam,"['1/4 kg ayam', '3 buah cabai hijau besar', '7 buah cabai merah rawit', '3 siung bawang putih', '2 siung bawang merah', 'secukupnya Gula', 'secukupnya Garam', '1/4 buah tomat merah', 'secukupnya Air', 'secukupnya Minyak goreng']","['ayam', 'cabai hijau', 'cabai merah rawit', 'bawang putih', 'bawang merah', 'gula', 'garam', 'tomat merah', 'air', 'minyak']",ayam cabai hijau cabai merah rawit bawang putih bawang merah gula garam tomat merah air minyak,"['1) Panaskan minyak di dalam wajan. Setelah minyak panas masukkan ayam yang sudah dipotong dadu. Goreng hingga matang. Lalu tiriskan.\n2) Haluskan bawang putih, bawang merah, cabai hijau dan merah, tomat.\n3) Panaskan minyak didalam wajan. Setelah minyak panas, masukkan bumbu yang sudah halus. Tunggu sampai wangi. Masukkan ayam yang sudah di goreng. Tambahkan air, gula dan garam. Tunggu sampai bumbu meresap di ayam. Sajikan.']",3,21,2,https://cookpad.com/id/resep/4473057-ayam-cabai-kawin
3,Ayam Geprek,ayam geprek,ayam,"['250 gr daging ayam (saya pakai fillet)', 'Secukupnya gula dan garam', '50-100 gr tepung ayam serbaguna', 'Secukupnya lalapan (kemangi,kol,timun)', 'Secukupnya minyak panas', '❤sambal korek', 'Secukupnya cabe rawit merah dan bwg putih']","['daging ayam fillet', 'gula garam', 'tepung ayam', 'daun kemangi', 'kol', 'timun', 'minyak panas', 'sambal korek', 'cabe rawit merah bawang putih']",daging ayam fillet gula garam tepung ayam daun kemangi kol timun minyak panas sambal korek cabe rawit merah bawang putih,"['1) Goreng ayam seperti ayam krispi\n2) Ulek semua bahan sambal kemudian campur dengan minyak panas bekas goreng ayam\n3) Geprek ayam kemudian campur dengan sambal,sajikan dengan lalapan']",3,21,10,https://cookpad.com/id/resep/4473023-ayam-geprek
4,Minyak Ayam,minyak ayam,ayam,"['400 gr kulit ayam & lemaknya', '8 siung bawang putih kating, cincang kasar', '1 ruas jahe, geprek', '350 ml minyak goreng', '1 sdm ketumbar bubuk']","['kulit ayam lemaknya', 'bawang putih', 'jahe', 'minyak', 'ketumbar']",kulit ayam lemaknya bawang putih jahe minyak ketumbar,"['1) Cuci bersih kulit ayam. Sisihkan\n2) Ambil 50 ml minyak goreng satu bahan yg sudah disiapkan tadi. Tumis jahe hingga harum.\n3) Masukkan kulit ayam, ketumbar dan bawang. Biarkan hingga keluar minyak alaminya sambil diaduk-aduk.\n4) Tambahkan sisa minyak goreng. Masak hingga kulit ayam mengering. Angkat dan saring.\n5) Setelah cukup dingin minyak ayam tadi dapat disimpan dalam wadah kering seperti mason jar/botol. Kalo saya, saya masukkan juga sedikit bawang putih goreng.\n6) Kulit ayam yg sudah digoreng kering tadi bisa dinikmati begitu saja sebagai camilan dengan ditaburi sejumput garam lalu aduk rata.']",6,42,4,https://cookpad.com/id/resep/4427438-minyak-ayam
5,Nasi Bakar Ayam,nasi bakar ayam,ayam,"['1 piring nasi', '¹/⁴ fillet ayam, potong kotak, cuci bersih', 'Daun pisang yang sudah dibersihkan', 'Lidi/tusuk gigi untuk mengapit daun', '1 lbr daun salam', '3 cm serai, memarkan', '1 ikat daun kemangi, opsional', '1 cabe merah besar, iris tipis', '1 sdt kecap manis', 'Minyak untuk menumis', '100 ml air', 'Bumbu Halus:', '1 cabe merah besar', '3 cabe kecil', '2 siung bawang merah', '1 siung bawang putih', '1 kemiri', '1 cm kunyit', '¹/² ruas jahe', '¹/⁴ tomat', '1 sdt gula pasir', '1 blok kaldu ayam (aku biasa pake maggy) pake royco, masako', 'Merica (dikira2 z takar nya, aku sdkit z sih)']","['piring nasi', 'fillet ayam', 'daun pisang dibersihkan', 'lidi gigi mengapit daun', 'daun salam', 'serai', 'daun kemangi', 'cabe merah', 'tipis', 'kecap manis', 'minyak menumis', 'air', 'bumbu', 'cabe merah', 'cabe', 'bawang merah', 'bawang putih', 'kemiri', 'kunyit', 'jahe', 'tomat', 'gula pasir', 'blok kaldu ayam pake maggy pake royco', 'masako', 'merica takar nya']",piring nasi fillet ayam daun pisang dibersihkan lidi gigi mengapit daun daun salam serai daun kemangi cabe merah tipis kecap manis minyak menumis air bumbu cabe merah cabe bawang merah bawang putih kemiri kunyit jahe tomat gula pasir blok kaldu ayam pake maggy pake royco masako merica takar nya,"['1) Tumis bumbu halus, masukkan daun salam, serai\n2) Masukkan potongan ayam, kecap dan air, masak hingga air menyusut dan koreksi rasa\n3) Masukkan irisan cabe merah dan daun kemangi, aduk sebentar dan matikan api\n4) Tata daun pisang, tata nasi di atas daun, beri isian ayam atau bisa juga nasi di campur dan diaduk dulu dengan ayam baru di tata di daun Pisang, bunbu ayam akan lebih meresap k nasi\n5) Setelah nasi di bungkus, barulah nasi di bakar, aku bakar pake teflon z br cepet\n6) Sajikan selagi hangat endeusss\n7) Note: Jangan membakar terlalu lama biar nasi ga kotor dari daun yg di bakar kering']",7,49,1,https://cookpad.com/id/resep/4472552-nasi-bakar-ayam
6,Ayam Saus Hintalu Jaruk,ayam saus hintalu jaruk,ayam,"['1/2 Ekor ayam', '2 Butir Hintalu Jaruk', '1 Buah Cabe merah', '1 Buah Cabe hijau', '300 gr Tepung terigu', '1 bks Merica bubuk', '2 Siung Bawang putih', '1 Buah jeruk nipis', 'secukupnya Minyak goreng untuk menumis dan menggoreng', 'secukupnya Gula, garam dan penyedap rasa']","['ayam', 'hintalu jaruk', 'cabe merah', 'cabe hijau', 'tepung terigu', 'merica bubuk', 'bawang putih', 'jeruk nipis', 'minyak menumis', 'gula', 'garam penyedap']",ayam hintalu jaruk cabe merah cabe hijau tepung terigu merica bubuk bawang putih jeruk nipis minyak menumis gula garam penyedap,"['1) Potong ayam menjadi kotak-kotak ukuran sedang cuci bersih kemudian lumuri perasan jeruk nipis, garam dan merica\n2) Buat adonan tepung untuk melapisi ayam. Adonan A (Tepung terigu, garam, merica, penyedap dan air es) dan adonan B (Tepung terigu, garam, merica dan penyedap)\n3) Masukan daging ayam kedalam adonan A kemudian lapisi dengan adonan B, setelah itu goreng daging kedalam minyak panas sampai berwarna kuning keemasan. Angkat tiriskan\n4) Cincang bawang putih,iris seron cabe merah dan cabe hijau. Lumatkan kuning hintalu jaruk aka telur asin dengan air dingin sampai berbentuk pasta\n5) Tumis bawang putih dan cabe sampai harum, kemudian tuangkan ayam dan pasta kuning telur.\n6) Tambahkan gula, garam, penyedap dan merica secukupnya. Tes rasa dan masal hingga mengental\n7) Angkat dan sajikan bersama nasi putih panas. Selamat mencoba']",7,49,0,https://cookpad.com/id/resep/4437475-ayam-saus-hintalu-jaruk
7,Ayam saos teriyaki Lada Hitam,ayam saos teriyaki lada hitam,ayam,"['Ayam bagian dada dan tulang', '1 buah bawang bombay', '2 siung bawang daun', '4 siung bawang putih', '1 buah cabe merah besar', '1 buah cabe ijo besar', 'Bahan bumbu :', 'secukupnya Air', 'Mentega untuk menumis', '1 bungkus saos teriyaki (2 sdm)', '1 sdm gula pasir', '1 bungkus royco ayam', 'Larutan meizena']","['ayam dada tulang', 'bawang bombai', 'bawang daun', 'bawang putih', 'cabe merah', 'cabe ijo', 'bumbu', 'air', 'mentega menumis', 'saos teriyaki', 'gula pasir', 'royco ayam', 'larutan meizena']",ayam dada tulang bawang bombai bawang daun bawang putih cabe merah cabe ijo bumbu air mentega menumis saos teriyaki gula pasir royco ayam larutan meizena,"['1) Cara Buat :\n1. Sediakan teplon or wajan beri sedikit minyak dan masukan bawang putih dan bawang bombay yang sudah di potong potong tumis sampai harum. Bisa juga sebelum dimasak ayamnya dibalurkan ke saos teriyaki dan diamkan selama 15 menit agar meresap\n2) 2. Masukan ayam oseng sampai agak mateng, baru masukan cabe ijo dan merah.\nBeri sedikit air\n3) 3. Masukan bumbu royco ayan saos teriyaki, gula, dan bubuk lada hitam. Cicipin\n4) 4. Setelah mulai mateng masukan daun bawang jika ingin kental bisa masukan larutan meizena yak. Saya tadi gak pake karena tiba tiba amnesia kirain punya tepungnya ternyata udah habis ..\nSetelah masak siap disajikan dengan nasi angat.']",4,15,0,https://cookpad.com/id/resep/4472877-ayam-saos-teriyaki-lada-hitam
8,Steak ayam,steak ayam,ayam,"['300 gr dada ayam fillet', '1 sdm air jeruk nipis', 'secukupnya garam', 'adonan basah', '50 gr terigu', '10 gr maizena', '1/4 sdt merica', 'garam', 'secukupnya air', 'adonan kering', '150 gr terigu', '30 gr maizena', '1/2 sdt merica bubuk', '1/4 sdt kaldu jamur', 'secukupnya garam', 'secukupnya minyak goreng', 'bahan saus jamur', '50 gr jamur tiram blender', '3 bawang putih cincang halus', '20 gr keju parut', '1 sdm maizena cairkan dgn air', '2 sdm saus tiram', '1 sdm kecap manis', '1/2 sdt merica halus', 'secukupnya garam & kaldu jamur', 'air', 'bahan pelengkap', 'buncis dan wortel di kukus']","['dada ayam fillet', 'air jeruk nipis', 'garam', 'terigu', 'maizena', 'merica', 'garam', 'air', 'adonan kering', 'terigu', 'maizena', 'merica bubuk', 'kaldu jamur', 'garam', 'minyak', 'saus jamur', 'jamur tiram blender', 'bawang putih', 'keju parut', 'maizena cairkan dgn air', 'saus tiram', 'kecap manis', 'merica', 'garam kaldu jamur', 'air', 'pelengkap', 'buncis wortel']",dada ayam fillet air jeruk nipis garam terigu maizena merica garam air adonan kering terigu maizena merica bubuk kaldu jamur garam minyak saus jamur jamur tiram blender bawang putih keju parut maizena cairkan dgn air saus tiram kecap manis merica garam kaldu jamur air pelengkap buncis wortel,"['1) Cuci bersih ayam, iris tipis melebar, rendam dgn garam dan air jeruk nipis 10 menit, cuci\n2) Campur adonan kering, sisihkan\n3) Campur adonan basah, sisihkan\n4) Panaskan minyak goreng dgn api sedang, gulingkan ayam pada adonan kering, lalu celup ke adonan basah, gulingkan lg pada adonan kering, jgn di remas2, kibas2 daging ayam pada adonan kering, lalu goreng di minyak yg banyak dan panas, biarkan krispinya terbentuk dl, jgn di balik2 dl, setelah cukup kering br di balik, goreng smpe matang, tiriskan\n5) Blender jamur tiram kasih air sedikit. tumis bawang putih yg di cincang halus, masukkan jamur yg di blender, masukkan bumbu2 yg lain sampai meresap, lalu tuang maizena yg sdh di cairkan dgn setengah gelas air, aduk2, masukkan keju parut, aduk sampai meletup2, tes rasa, klo sdh sesuai, angkat\n6) Tata dlm piring, ayam goreng tepung dan sayur kukus, siram dgn saus jamur, taburi daun bawang atau parsley jk ada.']",6,10,6,https://cookpad.com/id/resep/4472822-steak-ayam
9,Ayam Saos Asam Manis Simple,ayam saos asam manis simple,ayam,"['1/4 kg Ayam bagian dada fillet (Potong dadu)', 'Secukupnya air jeruk nipis utk baluran', '1 Bungkus tepung bumbu ayam instan uk besar + campur sedikit tepung terigu', '3 Siung b.putih (iris tipis)', '3 Siung b.merah (Iris tipis)', '1 Buah b.bombay (Iris tipis)', '1 Buah tomat uk besar (Haluskan)', '3 sdm saos sambal', '1 Sdm Saos tiram', 'Secukupnya Gula & garam', 'Secukupnya merica bubuk']","['ayam dada fillet dadu', 'air jeruk nipis utk baluran', 'tepung bumbu ayam instan campur tepung terigu', 'bawang putih tipis', 'bawang merah tipis', 'bawang bombai tipis', 'tomat', 'saos sambal', 'saos tiram', 'gula garam', 'merica bubuk']",ayam dada fillet dadu air jeruk nipis utk baluran tepung bumbu ayam instan campur tepung terigu bawang putih tipis bawang merah tipis bawang bombai tipis tomat saos sambal saos tiram gula garam merica bubuk,"['1) Lumuri ayam yg sdh dipotong dadu dgn garam & perasan jeruk nipis (diamkan sebentar)\n2) Baluri ayam dengan tepung basah, lanjutkan ke tepung kering, diamkan sebentar\n3) Goreng ayam yg sdh dbaluri tepung sampai kering & matang, angkat tiriskan.\n4) Membuat Saos Asam Manis : -Tumis b.merah & putih (sy suka klo bawang y agak kering)\n5) Masukkan bawang bombay, tumis sebentar.\n6) Masukkan tomat buah yg sdh dihaluskan tdi, tumis lagi pakai api sedang, tambahkan air secukupnya\n7) Masukkan saos sambal, saos tiram, sedikit perasan jeruk nipis, gula, garam & merica (koreksi sampai rasanya terasa asam manis gurih segar)\n8) Masukkan ayam yg sdh digoreng tdi kedalam saos asam manis, diamkan sebentar\n9) Setelah ayam sdh cukup merasap dengan saos asam manisnya matikan api dan siap disajikan dengan nasi putih hangat']",9,63,6,https://cookpad.com/id/resep/4472901-ayam-saos-asam-manis-simple
10,Mie Ayam Homemade by suami😂😂😂,mie ayam homemade by suami,ayam,"['Bahan mie ayam :', '1 kg tepung terigu proteiin tinggi', '4 butir telur', '3 sendok minyak goreng', 'Air', 'Secukupnyaa garam', 'Air untuk merebus mie :', 'secukupnya Air', 'Minyak goreng', 'Bumbu halus kuah ayam untuk mie ayam :', '3 Dada ayam(potong kotak2 jngn terlalu besar)', '5 siung bawang merah', '5 siung bawang putih', '4 buah kemiri', 'secukupnya Lada', 'Secukupnya ketumbar', 'Jahe', 'Lengkuas', '2 lembar sereh', '5 lembar daun jeruk', '2 lembar daun salam', 'Kecap', 'Gula merah', 'Minyak untuk menumis', 'Bahan pelengkap :', 'Daun bawang', 'Sawi hijau', 'Bawang goreng(me gak pakai lupa)', 'Bahan sambal :', '20 buah cabai rawit merah', 'Garam(agar tidak cepat bau asam)', 'Air untuk merebus']","['mie ayam', 'tepung terigu', 'telur', 'minyak', 'air', 'garam', 'air merebus mie', 'air', 'minyak', 'bumbu kuah ayam mie ayam', 'dada ayam jngn', 'bawang merah', 'bawang putih', 'kemiri', 'lada', 'ketumbar', 'jahe', 'lengkuas', 'serai', 'daun jeruk', 'daun salam', 'kecap', 'gula merah', 'minyak menumis', 'pelengkap', 'daun bawang', 'sawi hijau', 'bawang me lupa', 'sambal', 'cabai rawit merah', 'garam cepat bau asam', 'air merebus']",mie ayam tepung terigu telur minyak air garam air merebus mie air minyak bumbu kuah ayam mie ayam dada ayam jngn bawang merah bawang putih kemiri lada ketumbar jahe lengkuas serai daun jeruk daun salam kecap gula merah minyak menumis pelengkap daun bawang sawi hijau bawang me lupa sambal cabai rawit merah garam cepat bau asam air merebus,"['1) Kocok telur masukan garam n minyak goreng,aduk rata.masukan tepung terigu uleni pakai tangan sampai kalis(tidak menempel di tangan)diamkan 5 menit.\n2) Bagi adonan menjadi beberapa untuk memudahkan menggilasnya nanti,pipihkn pakai tangan lalu giling pakai ketebalan 4 setalah itu giling lg pakai ketebalan 1(ketebelan selera ya kalau saya suka yg tipis),sebelum di giling ke cetakan mie beri taburan terigu di atas adonannya agar tidak menempel,lakukan sampai adonan habis.\n3) Bagi mie menjadi beberapa porsi jngn lupa di beri taburan terigu ya agar tidak menempel.\n4) Haluskan semua bumbu halus kecuali daun jeruk&salam.\n5) Siapkan penggorengan beri minyak untuk menumis bumbu halus,masukan daun jeruk(sobek2)&daun salam,sereh geprek aja,tunggu sampai harum,lalu masukan ayam beri air(banyak boleh karna untuk kuahnya nanti)masukan kecap n gula merah,garam&penyedap test rasa.\n6) Untuk sambal rebus cabai merah rawit kira2 5menit.\n7) Siapkan panci beri air untuk merebus mie, masukan minyak goreng ke dalam air tujuaan untuk tidak menyatu.setelah mendidih masukan mie tunggu sampai mie naik ke atas barubdi angkat.\n8) Siapkan mangkok beri garam n kuah ayam aduk2 mie baru di berikan bahan pelengkap.\n9) Mie ayam homemade by suami siap di sajikan']",9,10,0,https://cookpad.com/id/resep/4472541-mie-ayam-homemade-by-suami%F0%9F%98%82%F0%9F%98%82%F0%9F%98%82
11,Ayam Bakar Pedas Manis Resep :Nila Sari,ayam bakar pedas manis resep nila sari,ayam,"['1 Ekor Ayam Broiler Ukuran Jumbo', 'Bumbu :', '5 Siung Bawang Merah', '10 Buah Cabe (Optional)', '1 Ruas Jahe', '1 Ruas Kunyit', 'Secukupnya Lada Bubuk', 'Secukupnya Ketumbar', '2 Lembar Daun Jeruk', '3 Lembar Daun Salam', '1 Batang Serai', '4 Siung Bawah Putih', 'Secukupnya Kecap', 'Secukupnya Gula Merah', 'Secukupnya Minyak Goreng', 'Secukupnya Royco', 'Secukupnya Garam', '1 Bungkus Santan Kara']","['ayam broiler jumbo', 'bumbu', 'bawang merah', 'cabe', 'jahe', 'kunyit', 'lada', 'ketumbar', 'daun jeruk', 'daun salam', 'serai', 'putih', 'kecap', 'gula merah', 'minyak', 'royco', 'garam', 'santan kara']",ayam broiler jumbo bumbu bawang merah cabe jahe kunyit lada ketumbar daun jeruk daun salam serai putih kecap gula merah minyak royco garam santan kara,"['1) Iris tipis bawang merah dan daun jeruk.\n2) Haluskan cabe, bawang putih, lada, ketumbar, jahe dan kunyit.\n3) Tumis bawang merah hingga wangi.\n4) Masukan bumbu yang telah dihaluskan ke dalam tumisan bawang tumis semua hingga harum.\n5) Masukan serai, daun jeruk dan daun salam masak sedikit tuang santan kara dan tambahkan air.\n6) Kemudian masukan ayam taburi royco, lada dan garam aduk aduk tutup dan tunggu ayam empuk dan air mulai susut tes rasa.\n7) Bakar ayam bisa menggunakan arang, teflon, atau batu bakar (saya memakai grill lebih praktis).\n8) Selamat Mencoba.']",8,56,8,https://cookpad.com/id/resep/4472362-ayam-bakar-pedas-manis-resep-nila-sari
12,Semur Ayam Kentang Ala Mama Kirana,semur ayam kentang ala mama kirana,ayam,"['1/2 Ekor ayam', 'Kentang', 'Bumbu Halus :', 'Bawang putih - bisa di sesuaikan sesuaikan', 'Bawang merah', 'Merica', 'Kemiri', 'Sedikit biji Pala', 'Cabai Merah kriting, bila suka pedas', 'Sedikit jahe', 'Rempah:', 'Daun salam', 'Lengkuas', 'Sereh', 'Kapulaga', 'Kulit manis', 'Irisan bawang bombay', 'Irisan tomat', 'Garam', 'Kecap manis', 'Sedikit penyedap rasa', 'Jeruk nipis untuk ayam']","['ayam', 'kentang', 'bumbu', 'bawang putih', 'bawang merah', 'merica', 'kemiri', 'pala', 'cabai merah kriting', 'suka pedas', 'jahe', 'rempah', 'daun salam', 'lengkuas', 'serai', 'kapulaga', 'kulit manis', 'irisan bawang bombai', 'irisan tomat', 'garam', 'kecap manis', 'penyedap', 'jeruk nipis ayam']",ayam kentang bumbu bawang putih bawang merah merica kemiri pala cabai merah kriting suka pedas jahe rempah daun salam lengkuas serai kapulaga kulit manis irisan bawang bombai irisan tomat garam kecap manis penyedap jeruk nipis ayam,['1) Cuci bersih ayam lalu baluri dengan perasan jeruk nipis\n2) Cuci lagi ayam dan baluri dengan garam lalu rebus sebentar lalu di goreng\n3) Kentang saya goreng bisa di sesuaikan sesuai selera masing²\n4) Tips goreng ayam agar hasil nya tdk keras : di goreng hanya sebentar\n5) Tumis bawang bombay lalu masukan bumbu halus dan masukkan semua rempah + irisan tomat + kecap manis\n6) Setelah bumbu harum masukkan air tunggu gingga mendidih\n7) Tambahkan garam + penyedap rasa apabila kurang manis bisa ditambahkan kecap lagi\n8) Setelah semua sudah sesuai dgn rasa masukkan kentang goreng + ayam goreng\n9) Tunggu kuah hingga menyusut dan kiraa² 5 mnt angkat. Dan terakhir saya taburin bawang goreng bisa disesuaikan jg dgn selera masing². Selesai'],9,5,2,https://cookpad.com/id/resep/4472563-semur-ayam-kentang-ala-mama-kirana
13,Ayam suwir,ayam suwir,ayam,"['300 gram Ayam suwir (sudah direbus/Goreng)', '5 siung bawang merah', '3 siung bawang putih', '1/2 buah tomat', '1/2 sdt merica', '1/2 sdt terasi', '2 buah cabe rawit', '2 buah cabe kriting', 'Secukupnya gula', 'Secukupnya garam', 'Secukupnya air', 'Secukupnya penyedap rasa (Royco)', '2 lembar daun salam', '1 jari Lengkuas geprek']","['ayam suwir direbus', 'bawang merah', 'bawang putih', 'tomat', 'merica', 'terasi', 'cabe rawit', 'cabe kriting', 'gula', 'garam', 'air', 'penyedap royco', 'daun salam', 'lengkuas']",ayam suwir direbus bawang merah bawang putih tomat merica terasi cabe rawit cabe kriting gula garam air penyedap royco daun salam lengkuas,"['1) Haluskan semua bumbu kecuali tomat, lengkuas, Dan daun salam\n2) Siapkan wajan untuk menumis Bumbu, kemudian tuang sedikit minyak Goreng Dan tumis Bumbu yang sudah dihaluskan ditambah daun Salam Dan lengkuas\n3) Setelah tercium bau Bumbu yang ditumis kemudian masukkan tomat yang sudah dipotong potong\n4) Kemudian setelab tomat layu masukkan air secukupnya Dan rasakan kuahnya kalau belum pas bisa ditambahkan penyedap rasa (Royco)\n5) Masukkan ayam yang sudah disuwir Dan aduk\n6) Tunggu sampai meresap Dan air berkurang\n7) Dan sajikan']",7,49,0,https://cookpad.com/id/resep/4471653-ayam-suwir
14,Ayam goreng tepung,ayam goreng tepung,ayam,"['150 gr fillet ayam', '5 sdm tepung bumbu serbaguna', '1 butir telur ayam (kocok lepas)', 'Garam sck', 'Minya goreng secukupnya untuk menggoreng']","['fillet ayam', 'tepung bumbu', 'telur ayam kocok lepas', 'garam', 'minyak']",fillet ayam tepung bumbu telur ayam kocok lepas garam minyak,"['1) Cuci ayam, tiriskan beri perasan jeruk lemon (skip boleh) Potong ayam bentuk dadu.\n2) Koco telur beri secukupnya garam. Masukkan ayam yg telah dipotong dadu.\n3) Balurkan ke dalam tepung serbaguna.\n4) Goreng pada minyak yg panas.\n5) Siap disantap']",5,35,1,https://cookpad.com/id/resep/4472498-ayam-goreng-tepung
15,Tulang Ayam Pedas Manis,tulang ayam pedas manis,ayam,"['1/2 kg tulang ayam bersihkan lalu potong', '5 bh cabe merah keriting', '5 bh cabe rawit (tambah jika suka pedas)', '4 butir bawang merah', '2 butir bawang putih', '1 ruas kunyit', '2 lbr daun salam', '1 lbr daun jeruk', '1 btg sereh geprek', '1 ruas jahe geprek', '1 btr jeruk nipis', 'secukupnya kaldu bubuk', 'secukupnya gula pasir', 'secukupnya kecap manis', '500 ml air untuk merebus tulang', 'minyak untuk menumis']","['tulang ayam bersihkan', 'cabe merah keriting', 'cabe rawit suka pedas', 'bawang merah', 'bawang putih', 'kunyit', 'daun salam', 'daun jeruk', 'serai', 'jahe', 'jeruk nipis', 'kaldu bubuk', 'gula pasir', 'kecap manis', 'air merebus tulang', 'minyak menumis']",tulang ayam bersihkan cabe merah keriting cabe rawit suka pedas bawang merah bawang putih kunyit daun salam daun jeruk serai jahe jeruk nipis kaldu bubuk gula pasir kecap manis air merebus tulang minyak menumis,"['1) Setelah tulang ayam di bersihkan dan di potong potong lumuri tulang dengan perasan jeruk nipis lalu biarkan\n2) Siapkan bumbu yg akan di haluskan bwg merah, bwg putih, cabe, dan kunyit blender hingga halus\n3) Siapkan air untuk merebus tulang tambahkan jahe yg sudah di geprek dan daun jeruk ungkep tulang hingga air menyusut\n4) Tumis bumbu yg sudah di halus kan tambahkan air secukupnya dan daun salam juga sereh geprek, masukan tulang ayam, beri kaldu bubuk, gula pasir dan kecap manis secukupnya jgn lupa test rasanya dan biarkan tulang ayam hingga meresap\n5) Setelah tulang ayam kuahnya agak sedikit meresap angkat lalu sajikan\n6) Bisa untuk teman makan mie ayam lohh moms']",6,42,3,https://cookpad.com/id/resep/4472409-tulang-ayam-pedas-manis
